"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible","Family","Comorbidity"
"1",5,1,0.491440391388527,0.575437665982238,0.5554257668008,0.471841496339877,1,1,0
"2",5,0,0.229158616835694,0.188228964471939,0.194382960953835,0.141511636551192,1,0,0
"3",5,1,0.49366263881954,0.480922409628548,0.477134453265406,0.391264020914192,1,1,0
"4",1,1,0.867035970973992,0.824253755239624,0.847074649635538,NA,0,0,0
"5",4,0,0.723410158810359,0.64428892556803,0.712145198727391,NA,0,0,0
"6",5,1,0.559176848691578,0.488152838106226,0.488190256792014,0.416164035797984,1,0,0
"7",1,0,0.73688213433281,0.661753748327214,0.676775661033334,NA,0,0,0
"8",5,0,0.19467217149144,0.193098472823237,0.187255926778455,0.14099248128873,1,1,0
"9",5,0,0.131318028715788,0.13993741963374,0.122224463604085,0.0886615943891075,1,1,0
"10",1,1,0.768689942640084,0.710094764021402,0.724071884287774,NA,0,0,0
"11",5,0,0.129926064950134,0.119743937298452,0.110091779718411,0.071029979142054,1,1,0
"12",5,1,0.590029087295922,0.506984012079627,0.547540831188386,0.564002397095114,1,0,0
"13",5,0,0.32777899297704,0.313581028118075,0.347353238915579,0.213630189570252,1,1,0
"14",5,0,0.329380646738885,0.292041246891603,0.296894467155256,0.276826163408534,1,0,0
"15",1,1,0.546778552864761,0.468426672698812,0.490907543807295,NA,0,0,0
"16",5,0,0.176265369248152,0.176878549199074,0.17343531239657,0.113713920882429,1,1,0
"17",1,1,0.560348912941849,0.536441491316533,0.552281443696597,NA,0,0,0
"18",5,0,0.203234751757606,0.191456127558023,0.178797977944464,0.112232934428324,1,1,0
"19",1,1,0.320879803380728,0.230073351078634,0.28588748827077,0.209119066547851,1,0,0
"20",1,1,0.735944460277303,0.672825856849162,0.714380268568779,NA,0,0,0
"21",5,0,0.398322766738416,0.359442093021235,0.3637951536478,0.318293150637267,1,0,0
"22",1,0,0.477372213261677,0.393400075298653,0.405606311344539,NA,0,0,0
"23",5,0,0.316097282582073,0.279769879845173,0.277589620415291,0.213950944163584,1,1,0
"24",1,1,0.338917151106491,0.263012340317683,0.300417979345637,NA,0,0,0
"25",5,0,0.303392150739003,0.239412006482032,0.272720811261727,0.18226716637158,1,0,0
"26",5,1,0.278451818886108,0.263016832752155,0.244380121217489,0.175025808279282,1,1,0
"27",5,1,0.425235776735338,0.370413393859283,0.3917442971743,0.304081109231449,1,0,0
"28",4,0,0.275580754341316,0.28888321453913,0.289569819173379,NA,0,1,0
"29",1,1,0.558222815421757,0.531089616845089,0.511772935151857,NA,0,0,0
"30",1,1,0.582520934915432,0.506300456114988,0.562791506913255,NA,0,0,0
"31",5,0,0.358575352977013,0.333844969978099,0.324707389295938,0.238725572520833,1,0,0
"32",5,0,0.297274677383127,0.322988418349835,0.269290026222011,0.209079645430209,1,1,0
"33",5,1,0.251952078014013,0.169885838010007,0.201209829218947,0.143529791867594,1,0,0
"34",1,1,0.339556024825163,0.35131969863294,0.277778976634765,NA,0,1,0
"35",5,0,0.211028316275519,0.156946824594792,0.193733054103009,0.118176765548326,1,0,0
"36",1,1,0.553606559405626,0.459919045490812,0.523750174720848,NA,0,0,1
"37",5,0,0.216303904667719,0.216204267261736,0.226047343854355,0.142930671067219,1,0,0
"38",1,1,0.46535470969801,0.331770239327238,0.434385790741773,NA,0,0,1
"39",4,1,0.391897628980069,0.386504349862465,0.383988614235421,NA,0,1,0
"40",5,0,0.166662856823989,0.146454088749439,0.181746047858602,0.0927327570107516,1,1,0
"41",5,0,0.188485869992433,0.175900529710158,0.2064887369213,0.128163106249649,1,1,0
"42",5,0,0.190324218355474,0.151965014330112,0.153545444351128,0.0948133129011345,1,0,0
"43",5,0,0.14229930590925,0.160764905673708,0.12226395473775,0.104045052606874,1,1,0
"44",4,0,0.518094035152587,0.461196010748688,0.513856285178875,NA,0,0,0
"45",4,0,0.49503615670872,0.464001773205568,0.487633286259195,NA,0,1,0
"46",5,0,0.160689279672434,0.172438899968236,0.152458928136117,0.110234178958439,1,1,0
"47",5,0,0.402108045534697,0.312644947057955,0.361726891297164,0.340823041674632,1,0,0
"48",5,0,0.258963027598548,0.176245091215509,0.235199292757317,0.14820812969815,1,0,0
"49",5,0,0.239641695962384,0.219827058383128,0.228342516297144,0.144914990006926,1,1,0
"50",5,0,0.220767826081988,0.236885402748456,0.186405046454209,0.13987942340189,1,1,0
"51",4,1,0.602284819324181,0.540643558603118,0.571614186305518,NA,0,0,0
"52",5,0,0.285084700088487,0.2134327389063,0.222425481673141,0.150764210773147,1,0,0
"53",4,1,0.492966550619969,0.520161512434582,0.491285905700294,NA,0,1,0
"54",5,0,0.100520602973205,0.103377501007067,0.0839866833043599,0.0573683623489387,1,1,0
"55",4,1,0.863493140540474,0.848807110254995,0.86703386448755,NA,0,0,1
"56",5,0,0.291507277377195,0.236865054987713,0.244386508116494,0.175839839055022,1,0,0
"57",4,1,0.342448872030198,0.329546979039872,0.318250002439973,NA,0,1,0
"58",4,0,0.54682173267469,0.506093515812944,0.531515638297256,NA,0,0,0
"59",5,0,0.268095307667967,0.203489160014673,0.211196951152221,0.149165088401177,1,0,0
"60",5,0,0.295489559547821,0.18708408200733,0.257476105729536,0.179696796410127,1,0,0
"61",5,0,0.128949651770433,0.142026172067971,0.138990852452376,0.071364151669356,1,1,1
"62",1,1,0.62491205783232,0.685165542349207,0.64809009444934,NA,0,0,0
"63",1,0,0.430248476730574,0.351097228869136,0.359903348058652,NA,0,0,0
"64",4,0,0.550748957921205,0.512609740207048,0.533842817335139,NA,0,0,0
"65",1,1,0.637769957714003,0.587898795043579,0.569195952036332,NA,0,0,1
"66",5,0,0.288521448017393,0.26882889135771,0.27474897933352,0.224832634210582,1,1,0
"67",1,1,0.175263736767311,0.195251068028819,0.16275408583393,NA,0,1,1
"68",5,0,0.198113947635929,0.181200064892927,0.187474999883776,0.120369099892036,1,1,0
"69",5,0,0.203778870354497,0.149522139657601,0.168113431878896,0.116694973810857,1,0,0
"70",1,0,0.275575597959553,0.293729117190915,0.252682010830256,NA,0,1,0
"71",5,0,0.221978508642485,0.226658324135877,0.219112768052842,0.173914213063325,1,1,0
"72",1,1,0.427820291993093,0.42257761678284,0.414581433500451,NA,0,1,0
"73",4,0,0.481275727624665,0.376984615369153,0.581588853520576,NA,0,0,1
"74",1,1,0.597037976184574,0.524737936043506,0.547840254876159,NA,0,0,0
"75",5,0,0.172865895269873,0.159312379508579,0.147458602314946,0.10326278762324,1,1,0
"76",5,0,0.236240979441807,0.224716221501455,0.224943329659221,0.147310005315805,1,1,0
"77",5,0,0.151242445918632,0.116131263444203,0.132007052138752,0.0870286443493293,1,1,0
"78",5,1,0.272138965148139,0.237464574996172,0.273834255974907,0.17780865637269,1,1,0
"79",5,1,0.51531251299731,0.436472811535158,0.440134570355458,0.341026521194684,1,0,0
"80",1,0,0.655544470937616,0.541303686529994,0.531838652380378,NA,0,0,0
"81",1,1,0.379027384333245,0.372756861647171,0.33012353316962,NA,0,1,0
"82",5,0,0.154776716419406,0.147252391044211,0.142171605391432,0.0961895461464696,1,1,0
"83",5,0,0.214661832156811,0.154153480341141,0.18412974508522,0.124940145589439,1,0,0
"84",1,0,0.476676734055121,0.416593339093087,0.429890370256241,NA,0,0,0
"85",5,1,0.2797542615476,0.242010090426213,0.245340234418611,0.172633429010881,1,1,0
"86",5,0,0.60759798876718,0.456048406946579,0.531609342661638,0.453465015201005,1,0,0
"87",3,0,0.442415412479513,0.315799628738027,0.418414748669731,NA,0,0,1
"88",5,0,0.369354608424561,0.292698539545949,0.307571328009552,0.24015147127732,1,0,0
"89",1,0,0.64075650851877,0.544591816562065,0.549951196150854,NA,0,0,0
"90",5,0,0.229251948735045,0.14678332610815,0.199626988479718,0.142139855450025,1,0,0
"91",5,0,0.270663471094493,0.261066062859474,0.239801949459886,0.18208396635055,1,1,0
"92",4,0,0.544064530075539,0.457895750681683,0.5107463122059,NA,0,0,0
"93",1,1,0.632671963214258,0.545066696188168,0.601366247252438,NA,0,0,0
"94",1,1,0.500486617147147,0.434809229449635,0.432922028275598,NA,0,0,0
"95",1,1,0.433905047711014,0.35609873094368,0.379698645061366,NA,0,0,0
"96",5,0,0.232557769394899,0.134901312884999,0.17256479328151,0.116207864082121,1,0,0
"97",5,0,0.160225091755136,0.166080356020534,0.134712340008724,0.09267100176829,1,1,0
"98",5,1,0.253714844571616,0.235367416911514,0.245580230389857,0.148909611838817,1,1,0
"99",5,0,0.282160496252688,0.230822195812539,0.290169367172759,0.188239107693339,1,0,1
"100",5,0,0.424008532193296,0.341284085586001,0.396721764376166,0.272010085248793,1,0,1
"101",4,1,0.563586583908127,0.452456657883815,0.564615560811017,NA,0,0,0
"102",5,0,0.108943271568806,0.110290785976536,0.108473071202917,0.0597893479407544,1,1,0
"103",5,0,0.210196793327288,0.199807128890069,0.194332443238146,0.137988430681269,1,1,0
"104",1,1,0.542530158692108,0.488924980859681,0.473353614139595,NA,0,0,0
"105",5,0,0.217301693355347,0.201550790931135,0.208047331524799,0.12500414352322,1,1,0
"106",5,0,0.219643368710327,0.163509521890483,0.193520995137033,0.128501348109376,1,0,0
"107",5,0,0.468360435203093,0.501538820785531,0.451338725809893,0.459215867007036,1,1,0
"108",4,0,0.172636770546691,0.146672320000523,0.144237901516605,0.0955374214078732,1,1,0
"109",5,0,0.208564619006765,0.176935963123797,0.195622654454757,0.115726538278198,1,1,1
"110",1,0,0.68932731750059,0.621597186600006,0.63999259342232,NA,0,0,1
"111",5,0,0.226384184313653,0.256353021855061,0.208941515340709,0.149915064541363,1,1,0
"112",5,0,0.22434756390541,0.241668404213013,0.191264548244182,0.117017067645928,1,1,0
"113",5,0,0.384618149100846,0.336483664535072,0.372277478702861,0.269856252005151,1,1,0
"114",4,0,0.178673303530084,0.145585749644546,0.229986993735405,NA,0,1,0
"115",1,0,0.580326037658576,0.502774211603009,0.499464998401169,NA,0,0,0
"116",5,0,0.178001935335479,0.165845410909177,0.157373022041225,0.0981345146853003,1,0,0
"117",5,0,0.247189949001722,0.174587907656475,0.181335704249327,0.135874071964328,1,0,0
"118",4,1,0.344689047074936,0.287602528344788,0.327514577829954,NA,0,0,0
"119",5,0,0.210535565893507,0.218965130650663,0.185807236537799,0.141757422685043,1,1,0
"120",5,0,0.296556734973268,0.263436178846799,0.270422664483751,0.206274946581218,1,1,0
"121",5,0,0.332486517755195,0.2475568722091,0.297082206440774,0.214357763769521,1,0,0
"122",5,1,0.319845854593209,0.21340683438387,0.294823070028881,0.263590055687015,1,0,1
"123",5,0,0.331684397331456,0.322053464700818,0.298394977306607,0.208857564644797,1,1,0
